iteration,epoch,batch_in_epoch,batches_per_epoch,loss_instant,loss_running_avg
5574,34,30,168,8.4151e-05,0.010874
5579,34,35,168,0.00021537,0.010865
5584,34,40,168,0.00040888,0.010856
5589,34,45,168,0.00012215,0.010846
5594,34,50,168,0.00017265,0.010839
5599,34,55,168,0.00018548,0.01083
5604,34,60,168,0.00027864,0.010822
5609,34,65,168,0.015433,0.010816
5614,34,70,168,0.00030508,0.010807
5619,34,75,168,0.00014014,0.010799
5624,34,80,168,0.00019446,0.01079
5629,34,85,168,8.2178e-05,0.010782
5634,34,90,168,0.00058374,0.010772
5639,34,95,168,5.9255e-05,0.010763
5644,34,100,168,0.00016843,0.010756
5649,34,105,168,0.0011133,0.01075
5654,34,110,168,0.023232,0.010746
5659,34,115,168,0.0063935,0.010737
5664,34,120,168,0.00016304,0.010728
5669,34,125,168,0.00025576,0.010719
5674,34,130,168,0.00014454,0.01071
5679,34,135,168,6.7419e-05,0.010702
5684,34,140,168,3.0115e-05,0.010693
5689,34,145,168,0.00016611,0.010685
5694,34,150,168,0.00069533,0.010676
5699,34,155,168,0.00011061,0.010669
5704,34,160,168,0.00010614,0.01066
5709,34,165,168,0.00071042,0.010651
5880,36,0,168,9.344e-05,0.010371
5885,36,5,168,3.3853e-05,0.010362
5890,36,10,168,1.8909e-05,0.010354
5895,36,15,168,4.6515e-05,0.010351
5900,36,20,168,0.00014862,0.010342
5905,36,25,168,0.00034074,0.010334
5910,36,30,168,6.1912e-05,0.010325
5915,36,35,168,8.9164e-05,0.010318
5920,36,40,168,0.00018494,0.01031
5925,36,45,168,0.00015062,0.010301
5930,36,50,168,5.2967e-05,0.010292
5935,36,55,168,0.00034479,0.010284
5940,36,60,168,6.9388e-06,0.010277
5945,36,65,168,0.027358,0.010272
5950,36,70,168,7.182e-06,0.010264
5955,36,75,168,4.6819e-05,0.010257
5960,36,80,168,0.00013374,0.010249
5965,36,85,168,0.012061,0.010242
5970,36,90,168,0.0003119,0.010235
5975,36,95,168,7.8967e-05,0.010229
5980,36,100,168,2.1873e-05,0.010224
5985,36,105,168,0.00015969,0.010216
5990,36,110,168,3.2263e-05,0.010207
5995,36,115,168,7.576e-05,0.010203
6000,36,120,168,0.00043034,0.010195
6005,36,125,168,0.00017258,0.010186
6010,36,130,168,8.1434e-05,0.010178
6015,36,135,168,0.00022537,0.01017
6020,36,140,168,0.00011468,0.010162
6025,36,145,168,9.7916e-05,0.010154
6030,36,150,168,0.00086746,0.010148
6035,36,155,168,0.0001208,0.01014
6040,36,160,168,0.00015665,0.010132
6045,36,165,168,0.00022071,0.010124
6216,38,0,168,0.00011085,0.0098638
6221,38,5,168,5.3894e-05,0.0098559
6226,38,10,168,1.1322e-05,0.0098479
6231,38,15,168,2.3175e-05,0.00984
6236,38,20,168,7.2732e-05,0.0098321
6241,38,25,168,2.2293e-05,0.0098255
6246,38,30,168,0.00021653,0.0098182
6251,38,35,168,0.0024044,0.0098114
6256,38,40,168,1.7853e-05,0.0098036
6261,38,45,168,0.00013396,0.0097958
6266,38,50,168,5.6473e-06,0.009788
6271,38,55,168,0.00057948,0.0097803
6276,38,60,168,2.1219e-06,0.0097724
6281,38,65,168,0.0066081,0.0097658
